idporto,locode,nome,localita,tipo_amministrazione_porto,rilievo_nazionale,rilevanza_nazionale,caso_speciale,note_caso_speciale,lat,lon
37225,ITCLS,Calasetta,Calasetta,NAZIONALE,SI,NO,NO,,,
16040,ITPTC,Portici,Portici,TERRITORIALE,NO,NO,NO,,,
15945,ITPAZ,Porto Azzurro,Porto Azzurro,NAZIONALE,NO,NO,NO,,,
15946,ITPCE,Porto Cervo,Porto Cervo,NAZIONALE,SI,NO,NO,,,
15948,ITPCN,Porto Conte,Porto Conte,TERRITORIALE,NO,NO,NO,,40.5833333333,8.2
17197,ITPEM,Porto Empedocle,Porto Empedocle,NAZIONALE,NO,SI,NO,,37.2843916667,13.5280138889
16042,ITPTH,Porto Ercole,Porto Ercole,TERRITORIALE,NO,NO,NO,,42.4,11.2
15954,ITPGA,Porto Garibaldi,Porto Garibaldi,TERRITORIALE,NO,NO,NO,,,
17249,ITPVT,Porto Levante,Porto Levante,NAZIONALE,NO,NO,NO,,45.0333333333,12.35
15957,ITPLI,Porto Lignano,Porto Lignano,TERRITORIALE,NO,NO,NO,,,
15962,ITPMZ,Porto Maurizio,Porto Maurizio,TERRITORIALE,NO,NO,NO,,,
15963,ITPNG,Porto Nogaro,Porto Nogaro,NAZIONALE,NO,NO,NO,,,
17245,ITPPF,Porto Palo,Porto Palo,TERRITORIALE,NO,NO,NO,,37.5833333333,12.9166666667
17246,ITPRF,Porto Recanati,Porto Recanati,TERRITORIALE,SI,NO,NO,,43.4333333333,13.6666666667
16106,ITSIG,Porto San Giorgio,Porto San Giorgio,TERRITORIALE,NO,NO,NO,,43.1833333333,13.7833333333
17248,ITPSS,Porto Santo Stefano,Porto Santo Stefano,NAZIONALE,SI,NO,NO,,,
16033,ITPPT,Porto Tolle,Porto Tolle,TERRITORIALE,NO,NO,NO,,44.95,12.3333333333
16044,ITPTO,Porto Torres,Porto Torres,NAZIONALE,NO,SI,NO,,40.8402166667,8.3997638889
16038,ITPRW,Porto Venere,Porto Venere,NAZIONALE,NO,NO,NO,,44.05,9.8333333333
15965,ITPOQ,Porto Viro,Porto Viro,NAZIONALE,SI,NO,NO,,45.0166666667,12.2166666667
15952,ITPFE,Portoferraio,Portoferraio,NAZIONALE,NO,SI,NO,,42.8126583333,10.3245333333
16041,ITPTF,Portofino,Portofino,NAZIONALE,NO,NO,NO,,,
16032,ITPPL,Portopalo,Portopalo,TERRITORIALE,NO,NO,NO,,36.6833333333,15.1333333333
17163,ITOZI,Pozzillo,Pozzillo,TERRITORIALE,NO,NO,NO,,37.65,15.1833333333
16031,ITPOZ,Pozzuoli,Pozzuoli,NAZIONALE,NO,NO,NO,,,
17198,ITPIM,Praia a Mare,Praia A Mare,TERRITORIALE,SI,NO,NO,,39.9,15.7833333333
16036,ITPRL,Priolo Gargallo,Priolo Gargallo,NAZIONALE,SI,NO,NO,,37.15,15.1833333333
16037,ITPRO,Procida,Procida,NAZIONALE,NO,NO,NO,,,
18256,ITPUC,Punta Cugno,Punta Cugno,TERRITORIALE,NO,NO,NO,,,
16080,ITRPO,Rapallo,Rapallo,TERRITORIALE,NO,NO,NO,,44.35,9.2333333333
16334,ITLLT,Savelletri,Savelletri,TERRITORIALE,NO,NO,NO,,40.8666666667,17.4
17066,ITICA,Torvaianica,Torvaianica,TERRITORIALE,NO,NO,NO,,41.6166666667,12.45
16168,ITTNI,Trani,Trani,TERRITORIALE,SI,NO,NO,,,
16170,ITTPS,Trapani,Trapani,NAZIONALE,NO,SI,NO,,38.01135,12.5181277778
15942,ITOTO,Otranto,Otranto,NAZIONALE,NO,NO,NO,,,
16086,ITAUG,Augusta,Augusta,NAZIONALE,NO,SI,NO,,37.2427972222,15.2137111111
56955,ITAV2,Avella,Avella,TERRITORIALE,NO,NO,NO,,,
16087,ITAVO,Avola,Avola,TERRITORIALE,NO,NO,NO,,,
16090,ITBCB,Bagnara Calabra,Bagnara Calabra,TERRITORIALE,NO,NO,NO,,38.2833333333,15.8
16095,ITBLN,Bagnoli,Bagnoli,TERRITORIALE,NO,NO,NO,,,
16089,ITBAI,Baia,Baia,TERRITORIALE,NO,NO,NO,,,
16104,ITBRI,Bari,Bari,NAZIONALE,NO,SI,NO,,41.1344944444,16.8640666667
16230,ITVUL,Vulcano porto,Vulcano Porto,TERRITORIALE,NO,NO,NO,,,
16166,ITTMI,Termoli,Termoli,NAZIONALE,NO,NO,NO,,,
16067,ITAOL,Acciaroli,Acciaroli,TERRITORIALE,NO,NO,NO,,40.1666666667,15.0166666667
16029,ITACL,Aci Castello,Aci Castello,TERRITORIALE,NO,NO,NO,,37.55,15.1166666667
16030,ITACT,Acitrezza,Acitrezza,TERRITORIALE,SI,NO,NO,,37.55,15.15
16059,ITAGP,Agropoli,Agropoli,TERRITORIALE,SI,NO,NO,,40.35,14.9833333333
56954,ITAUO,Agugliano,Agugliano,TERRITORIALE,NO,NO,NO,,,
16062,ITALS,Alassio,Alassio,TERRITORIALE,NO,NO,NO,,44,8.1666666667
16060,ITAHO,Alghero,Alghero,NAZIONALE,NO,NO,NO,,,
16061,ITALI,Alicudi,Alicudi,TERRITORIALE,NO,NO,NO,,,
16063,ITAMA,Amalfi,Amalfi,NAZIONALE,NO,NO,NO,,,
16064,ITAMT,Amantea,Amantea,TERRITORIALE,NO,NO,NO,,39.1166666667,16.0666666667
16302,ITGLJ,Camogli,Camogli,TERRITORIALE,NO,NO,NO,,44.35,9.15
18513,ITNIG,Cannigione,Cannigione,TERRITORIALE,NO,NO,NO,,,
16068,ITAOR,Caorle,Caorle,TERRITORIALE,NO,NO,NO,,45.6,12.8833333333
18620,ITCCB,Cape Carbonara,Cape Carbonara,TERRITORIALE,NO,NO,NO,,,
16939,ITCOQ,Capo d'Orlando,Capo D'orlando,TERRITORIALE,NO,NO,NO,,38.1666666667,14.75
16035,ITPRJ,Capri,Capri,NAZIONALE,NO,NO,NO,,,
16261,ITFOM,Formia,Formia,NAZIONALE,NO,NO,NO,,,
56957,ITCL4,Cellole,Cellole,TERRITORIALE,NO,NO,NO,,,
16938,ITCNT,Cesenatico,Cesenatico,TERRITORIALE,NO,NO,NO,,44.2,12.4
16153,ITTAA,Cetara,Cetara,TERRITORIALE,NO,NO,NO,,40.6333333333,14.7
17394,ITCCQ,Cetraro,Cetraro,TERRITORIALE,NO,NO,NO,,39.5,15.9333333333
16158,ITCHX,Chiavari,Chiavari,TERRITORIALE,NO,NO,NO,,44.3166666667,9.35
16157,ITCHI,Chioggia,Chioggia,NAZIONALE,NO,SI,NO,,45.2131277778,12.2693888889
16357,ITMRM,Ciro Marina,Ciro Marina,TERRITORIALE,NO,NO,NO,,39.3666666667,17.1166666667
16318,ITIOA,Civitanova Marche,Civitanova Marche,TERRITORIALE,NO,NO,NO,,,
16224,ITCVV,Civitavecchia,Civitavecchia,NAZIONALE,NO,SI,NO,,42.0944472222,11.7823777778
17534,ITCPN,Copanello,Copanello,TERRITORIALE,NO,NO,NO,,,
56960,ITCPJ,Coppito,Coppito,TERRITORIALE,NO,NO,NO,,,
16156,ITCGC,Corigliano Calabro,Corigliano Calabro,NAZIONALE,NO,SI,NO,,39.6634916667,16.5249694444
56959,ITCO3,Cortona,Cortona,TERRITORIALE,NO,NO,NO,,,
16940,ITCRV,Crotone,Crotone,NAZIONALE,NO,SI,NO,,39.0858972222,17.1290083333
16180,ITCPM,Cupra Marittima,Cupra Marittima,TERRITORIALE,NO,NO,NO,,43.0166666667,13.85
16502,ITDIA,Diamante,Diamante,TERRITORIALE,NO,NO,NO,,39.6833333333,15.8166666667
16503,ITDNO,Duino,Duino,TERRITORIALE,SI,NO,NO,,45.7666666667,13.5833333333
16257,ITFCO,Fiumicino,Fiumicino,NAZIONALE,NO,SI,NO,,41.7706694444,12.2256694444
16254,ITFAL,Falconara,Falconara,NAZIONALE,NO,SI,NO,,43.6396861111,13.3873333333
16255,ITFAO,Fano,Fano,TERRITORIALE,SI,NO,NO,,,
56968,ITQNO,Farigliano,Farigliano,TERRITORIALE,NO,NO,NO,,,
16256,ITFAV,Favignana,Favignana,NAZIONALE,NO,NO,NO,,,
16262,ITFPO,Filicudi Porto,Filicudi Porto,TERRITORIALE,SI,NO,NO,,,
16260,ITFNL,Finale Ligure,Finale Ligure,TERRITORIALE,NO,NO,NO,,44.1666666667,8.3333333333
16986,ITFCV,Foce Varano,Foce Varano,TERRITORIALE,NO,NO,NO,,41.9166666667,15.8
16507,ITFOL,Follonica,Follonica,NAZIONALE,NO,NO,NO,,,
16508,ITFRD,Forio,Forio,TERRITORIALE,NO,NO,NO,,40.7333333333,13.85
16258,ITFDM,Forte dei Marmi,Forte Dei Marmi,TERRITORIALE,NO,NO,NO,,43.9666666667,10.1666666667
16506,ITFME,Francavilla al Mare,Francavilla Al Mare,TERRITORIALE,NO,NO,NO,,,
16259,ITFGE,Fregene,Fregene,TERRITORIALE,NO,NO,NO,,41.85,12.2
16509,ITFSA,Fusina,Fusina,TERRITORIALE,NO,NO,NO,,45.4166666667,12.2333333333
17065,ITGMA,Gabicce Mare,Gabicce Mare,TERRITORIALE,NO,NO,NO,,43.9666666667,12.7666666667
16263,ITGAE,Gaeta,Gaeta,NAZIONALE,SI,SI,NO,,41.2229111111,13.5727722222
16265,ITGAL,Gallipoli,Gallipoli,NAZIONALE,NO,NO,NO,,,
16298,ITGEA,Gela,Gela,NAZIONALE,SI,NO,NO,,,
16043,ITPTI,Patti,Patti,TERRITORIALE,NO,NO,NO,,,
15950,ITPED,Pedaso,Pedaso,TERRITORIALE,NO,NO,NO,,43.1,13.8333333333
15951,ITPES,Pesaro,Pesaro,NAZIONALE,NO,SI,NO,,43.9229166667,12.9052555556
16039,ITPSR,Pescara,Pescara,NAZIONALE,NO,SI,NO,,42.4691027778,14.2317194444
16533,ITLEN,Levanto,Levanto,TERRITORIALE,NO,NO,NO,,44.1666666667,9.6
37221,ITLEV,Levanzo,Levanzo,NAZIONALE,SI,NO,NO,,,
37220,ITLIC,Licata,Licata,NAZIONALE,NO,NO,NO,,,
56973,ITULE,Zaule,Zaule,TERRITORIALE,NO,NO,NO,,,
16335,ITLMP,Lampedusa,Lampedusa,NAZIONALE,NO,NO,NO,,,
17102,ITMAZ,Mazara del Vallo,Mazara Del Vallo,NAZIONALE,NO,NO,NO,,,
16332,ITLIU,Linosa,Linosa,TERRITORIALE,NO,NO,NO,,,
16066,ITAOI,Ancona,Ancona,NAZIONALE,NO,SI,NO,,43.6206333333,13.5029972222
16057,ITADA,Andora,Andora,TERRITORIALE,NO,NO,NO,,43.95,8.15
16855,ITANZ,Anzio,Anzio,NAZIONALE,NO,NO,NO,,,
16085,ITATX,Arbatax,Arbatax,NAZIONALE,SI,NO,NO,,39.9333333333,9.7
16088,ITAZA,Arenzano,Arenzano,TERRITORIALE,SI,NO,NO,,44.4,8.6666666667
16069,ITATA,Arma di Taggia,Arma Di Taggia,TERRITORIALE,NO,NO,NO,,43.8166666667,7.85
16331,ITLIP,Lipari,Lipari,NAZIONALE,NO,NO,NO,,,
16065,ITAOA,Paola,Paola,TERRITORIALE,SI,NO,NO,,39.3833333333,16.0333333333
16077,ITRMI,Rimini,Rimini,NAZIONALE,NO,NO,NO,,,
15947,ITPCH,Peschici,Peschici,TERRITORIALE,NO,NO,NO,,,
17247,ITPRR,Piano di Sorrento,Piano Di Sorrento,TERRITORIALE,NO,NO,NO,,40.6333333333,14.4166666667
15955,ITPIA,Pianosa,Pianosa,TERRITORIALE,NO,NO,NO,,42.5666666667,10.0666666667
56962,ITISB,Pier Isab,Pier Isab,TERRITORIALE,NO,NO,NO,,,
15956,ITPIO,Piombino,Piombino,NAZIONALE,NO,SI,NO,,42.9342138889,10.5447027778
17199,ITPIZ,Pizzo,Pizzo,TERRITORIALE,NO,NO,NO,,38.7333333333,16.15
15949,ITPCR,Policoro,Policoro,TERRITORIALE,NO,NO,NO,,40.2166666667,16.6833333333
18096,ITZQQ,Polignano a Mare,Polignano A Mare,TERRITORIALE,SI,NO,NO,,,
56966,ITPM4,Pomaro Monferrato,Pomaro Monferrato,TERRITORIALE,NO,NO,NO,,,
16832,ITPNZ,Ponza,Ponza,NAZIONALE,NO,NO,NO,,,
15940,ITORL,Porticello,Porticello,TERRITORIALE,SI,NO,NO,,38.0833333333,13.5333333333
16102,ITBLT,Barletta,Barletta,NAZIONALE,NO,SI,NO,,41.3255277778,16.2904
16094,ITBLA,Bellaria,Bellaria,TERRITORIALE,NO,NO,NO,,44.15,12.4666666667
17351,ITBMT,Belvedere Marittimo,Belvedere Marittimo,TERRITORIALE,NO,NO,NO,,39.6166666667,15.85
16103,ITBNC,Bianco,Bianco,TERRITORIALE,NO,NO,NO,,38.0833333333,16.1333333333
16091,ITBCE,Bisceglie,Bisceglie,TERRITORIALE,NO,NO,NO,,41.2333333333,16.5
15930,ITOAA,Bonagia,Bonagia,TERRITORIALE,NO,NO,NO,,38.05,12.5833333333
16093,ITBGH,Bordighera,Bordighera,TERRITORIALE,NO,NO,NO,,43.7666666667,7.6666666667
17352,ITBOA,Bosa,Bosa,TERRITORIALE,NO,NO,NO,,40.2833333333,8.4833333333
16105,ITBVM,Bova Marina,Bova Marina,TERRITORIALE,SI,NO,NO,,37.9333333333,15.9166666667
56956,ITBMA,Bovalino Marina,Bovalino Marina,TERRITORIALE,NO,NO,NO,,,
16092,ITBDS,Brindisi,Brindisi,NAZIONALE,NO,SI,NO,,40.6505805556,17.9656805556
16141,ITCAG,Cagliari,Cagliari,NAZIONALE,NO,SI,NO,,39.2106027778,9.112075
15926,ITNNE,Cala Gonone,Cala Gonone,TERRITORIALE,NO,NO,NO,,40.3,9.6333333333
56976,ITZZQ,Caldonazzo,Caldonazzo,TERRITORIALE,NO,NO,NO,,,
16179,ITCPA,Capraia,Capraia,NAZIONALE,SI,SI,NO,,43.0512027778,9.8376527778
56958,ITCM2,Carema,Carema,TERRITORIALE,NO,NO,NO,,,
16182,ITCRT,Cariati,Cariati,TERRITORIALE,SI,NO,NO,,39.4833333333,16.95
16892,ITCLF,Carloforte,Carloforte,NAZIONALE,NO,NO,NO,,,
37224,ITCML,Casamicciola,Casamicciola Terme,NAZIONALE,NO,NO,NO,,,
16058,ITAEL,Castel Volturno,Castel Volturno,TERRITORIALE,SI,NO,NO,,41.0333333333,13.95
16185,ITCTR,Castellammare del Golfo,Castellammare Del Golfo,TERRITORIALE,NO,NO,NO,,38.0166666667,12.8833333333
16142,ITCAS,Castellammare di Stabia,Castellammare Di Stabia,NAZIONALE,NO,SI,NO,,40.6941166667,14.4714361111
16184,ITCTK,Castelsardo,Castelsardo,TERRITORIALE,SI,NO,NO,,40.9,8.7
16070,ITATI,Castiglioncello,Castiglioncello,TERRITORIALE,NO,NO,NO,,43.4,10.4166666667
17395,ITCEQ,Castiglione della Pescaia,Castiglione Della Pescaia,TERRITORIALE,SI,NO,NO,,42.7666666667,10.8833333333
16181,ITCRQ,Castro Marina,Castro Marina,TERRITORIALE,NO,NO,NO,,39.9833333333,18.4
16183,ITCTA,Catania,Catania,NAZIONALE,NO,SI,NO,,37.4964444444,15.0941583333
16891,ITCCL,Cattolica,Cattolica,TERRITORIALE,NO,NO,NO,,43.95,12.7333333333
16225,ITCVX,Cavo,Cavo,NAZIONALE,SI,SI,NO,,42.8602416667,10.4233305556
16143,ITCEC,Cecina,Cecina,TERRITORIALE,SI,NO,NO,,,
16155,ITCFU,Cefalu,Cefalu,TERRITORIALE,NO,NO,NO,,38.0333333333,14.0166666667
16303,ITGOA,Genova,Genova,NAZIONALE,NO,SI,NO,,44.4090972222,8.9179666667
16300,ITGII,Giannutri,Giannutri,TERRITORIALE,NO,NO,NO,,,
16299,ITGIA,Giardini,Giardini,NAZIONALE,NO,NO,NO,,,
16301,ITGIT,Gioia Tauro,Gioia Tauro,NAZIONALE,NO,SI,NO,,38.4468777778,15.901875
16308,ITGVZ,Giovinazzo,Giovinazzo,TERRITORIALE,NO,NO,NO,,41.1833333333,16.6666666667
16307,ITGUI,Giulianova Lido,Giulianova Lido,TERRITORIALE,NO,NO,NO,,42.65,13.9333333333
16264,ITGAI,Golfo Aranci,Golfo Aranci,NAZIONALE,NO,SI,NO,,40.995075,9.6226027778
16305,ITGOR,Gorgona,Gorgona,TERRITORIALE,NO,NO,NO,,,
16304,ITGOO,Goro,Goro,TERRITORIALE,NO,NO,NO,,44.85,12.3
16306,ITGRD,Grado,Grado,TERRITORIALE,NO,NO,NO,,,
16317,ITIMP,Imperia,Imperia,NAZIONALE,NO,NO,NO,,,
16320,ITISH,Ischia,Ischia,NAZIONALE,NO,NO,NO,,,
18625,ITISN,Isola Asinara,Isola Asinara,NAZIONALE,NO,NO,NO,,,
17012,ITISS,Isola Santo Stefano,Isola Santo Stefano,TERRITORIALE,SI,NO,NO,,,
17011,ITIDG,Isola del Giglio,Isola Del Giglio,NAZIONALE,NO,NO,NO,,,
16316,ITIDF,Isola delle Femmine,Isola Delle Femmine,TERRITORIALE,NO,NO,NO,,38.2,13.25
37223,ITFOR,Isolotto Formica,Isolotto Formica,NAZIONALE,NO,NO,NO,,,
16321,ITJLO,Jesolo,Jesolo,TERRITORIALE,SI,NO,NO,,,
16340,ITMDA,La Maddalena,La Maddalena,NAZIONALE,NO,NO,NO,,41.2166666667,9.3833333333
16341,ITMDC,Marina di Carrara,Marina Di Carrara,NAZIONALE,NO,SI,NO,,44.0333416667,10.0402472222
18015,ITAAS,Marina di Davoli,Marina Di Davoli,TERRITORIALE,NO,NO,NO,,,
16145,ITSPE,La Spezia,La Spezia,NAZIONALE,NO,SI,NO,,44.1045361111,9.843625
16323,ITLAE,Lacco Ameno,Lacco Ameno,TERRITORIALE,NO,NO,NO,,40.75,13.9
